County,Population,Population-growth,Population-density,Income-per-capita,White-not-hispanic-population-percentage,Percent-of-people-25-years-and-over-with-bachelors-degree-or-higher,class
"Bremer, iowa",24721,1.8,55.7,28727,96,28.3,Trump
"Buchanan, iowa",21038,0.4,36.7,27038,96.7,17.1,Trump
"Buena Vista, iowa",20578,1.6,35.2,22899,63.8,20,Trump
"Butler, iowa",15006,0.9,25.6,25269,97.3,15,Trump
"Calhoun, iowa",9866,-3.1,17,25766,94.9,19.1,Trump
"Carroll, iowa",20562,-1.2,36.6,25430,95.7,18.8,Trump
"Cass, iowa",13448,-3.6,24.7,25448,95.6,19,Trump
"Cedar, iowa",18411,-0.5,31.9,26567,96,19.5,Trump
"Cerro Gordo, iowa",43254,-2,77.7,27291,92,21,Trump
"Cherokee, iowa",11836,-2,20.9,26330,94.2,19.6,Trump
"Chickasaw, iowa",12264,-1.4,24.7,24139,96.3,13.8,Trump
"Clarke, iowa",9217,-0.7,21.5,23472,86.2,14.3,Trump
"Clay, iowa",16515,-0.9,29.4,29060,94.7,18.4,Trump
"Clayton, iowa",17692,-2.4,23.3,25074,96.2,15.5,Trump
"Clinton, iowa",48051,-2.2,70.7,25966,91.7,17.7,Trump
"Crawford, iowa",17228,0.8,23.9,22748,68.7,14.7,Trump
"Dallas, iowa",77400,17,112.4,35844,87.3,43.6,Trump
"Davis, iowa",8781,0.3,17.4,22210,97.2,16.4,Trump
"Decatur, iowa",8263,-2.3,15.9,18845,93.4,18.4,Trump
"Delaware, iowa",17398,-2.1,30.7,26261,97.4,15.5,Trump
"Des Moines, iowa",40255,-0.2,96.9,24408,88.5,18.9,Trump
"Dickinson, iowa",16935,1.6,43.8,31790,96.7,25.4,Trump
"Dubuque, iowa",96370,2.9,154,26254,92.3,27.1,Trump
"Emmet, iowa",9990,-3,26,27908,87.7,15.3,Trump
"Fayette, iowa",20343,-2.6,28.6,23391,94.7,18.4,Trump
"Floyd, iowa",16077,-1.4,32.6,24590,93.9,15.9,Trump
"Franklin, iowa",10436,-2.3,18.4,26102,86.7,15.1,Trump
"Fremont, iowa",7022,-5.6,14.6,26930,95.4,20.5,Trump
"Greene, iowa",9200,-1.5,16.4,26205,95.3,17.4,Trump
"Grundy, iowa",12375,-0.6,24.8,31164,97.4,20.7,Trump
"Guthrie, iowa",10722,-2.1,18.5,28030,96.2,17.1,Trump
"Hamilton, iowa",15117,-3.5,27.2,24510,90.8,18,Trump
"Hancock, iowa",11027,-2.8,19.9,25814,94.3,16.6,Trump
"Hardin, iowa",17311,-1.3,30.8,25153,93.1,19.7,Trump
"Harrison, iowa",14324,-4.1,21.4,26184,96.8,17.7,Trump
"Henry, iowa",20217,0.4,46.4,22687,88.7,20,Trump
"Howard, iowa",9449,-1.2,20.2,24286,96.8,11.6,Trump
"Humboldt, iowa",9640,-1.8,22.6,26746,94.3,18.2,Trump
"Ida, iowa",7042,-0.7,16.4,25869,96.4,19.6,Trump
"Iowa, iowa",16375,0.1,27.9,28068,96,21,Trump
"Jackson, iowa",19482,-1.8,31.2,24493,96,14.5,Trump
"Jasper, iowa",36872,0.1,50.4,24905,94.9,17.8,Trump
"Jefferson, iowa",17325,2.9,38.7,27593,85.4,31.2,Trump
"Johnson, iowa",142287,8.7,213.1,29592,81.6,51.1,Clinton
"Jones, iowa",20454,-0.9,35.9,26762,94.8,17.2,Trump
"Keokuk, iowa",10231,-2.7,18.1,22243,96.8,13.4,Trump
"Kossuth, iowa",15222,-2.1,16,29127,96.2,18.3,Trump
"Lee, iowa",35286,-1.6,69.3,22649,90.9,15.8,Trump
"Linn, iowa",217751,3.1,294.6,29943,88.5,31.2,Clinton
"Louisa, iowa",11161,-2,28.3,24272,80.1,13.5,Trump
"Lucas, iowa",8701,-2.2,20.7,21126,97.4,11.3,Trump
"Lyon, iowa",11683,0.9,19.7,23683,96.3,17.6,Trump
"Madison, iowa",15609,-0.4,27.9,27685,96.7,21.5,Trump
"Mahaska, iowa",22370,0,39.2,23788,94.6,21.5,Trump
"Marion, iowa",33365,0.2,60.1,25477,95,25,Trump
"Marshall, iowa",40866,0.5,71,24117,74.8,19.3,Trump
"Mills, iowa",14831,-1.5,34.4,27101,94.9,24,Trump
"Mitchell, iowa",10779,0.1,23,24518,97.4,15.7,Trump
"Monona, iowa",8996,-2.7,13.3,24557,95.5,14.3,Trump
"Monroe, iowa",8001,0.4,18.4,24508,95.3,19.3,Trump
"Montgomery, iowa",10421,-3,25.3,22868,94.8,15.1,Trump
"Muscatine, iowa",42903,0.4,97.7,25038,79.2,16.2,Trump
"O'Brien, iowa",14056,-2.4,25.1,28086,93.8,18.9,Trump
"Osceola, iowa",6218,-3.8,16.2,24653,91.9,15.6,Trump
"Page, iowa",15496,-2.8,29.8,23496,91.8,17.4,Trump
"Palo Alto, iowa",9099,-3.4,16.7,25055,95.7,16.5,Trump
"Plymouth, iowa",24874,-0.4,29,27942,94.4,20.9,Trump
"Pocahontas, iowa",7138,-2.4,12.7,25556,94.5,17.8,Trump
"Polk, iowa",459862,6.8,750.5,30442,79.7,34.9,Clinton
"Pottawattamie, iowa",93128,0,98,25847,89.1,19.1,Trump
"Poweshiek, iowa",18668,-1.3,32.3,25318,92.9,24.1,Trump
"Ringgold, iowa",5051,-1.6,9.6,23324,96.1,17.6,Trump
"Sac, iowa",10035,-3,18,26350,95.9,19.1,Trump
"Scott, iowa",171387,3.7,360.7,28948,81.8,31.6,Clinton
"Shelby, iowa",11948,-1.8,20.6,26387,96,18.2,Trump
"Sioux, iowa",34681,2.9,43.9,24324,88.3,23.4,Trump
"Story, iowa",94073,5.1,156.3,25986,86.2,47.7,Clinton
"Tama, iowa",17451,-1.8,24.6,25311,83.4,16.1,Trump
"Taylor, iowa",6143,-2.8,11.9,23793,91.3,13.8,Trump
"Union, iowa",12516,-0.1,29.6,23007,95,16.5,Trump
"Van Buren, iowa",7468,-1.3,15.6,21368,97.2,14.4,Trump
"Wapello, iowa",35212,-1.2,82.5,22699,85.8,16.2,Trump
"Warren, iowa",47956,3.7,81.1,29088,95.2,26.7,Trump
"Washington, iowa",22070,1.7,38.2,26459,92.1,20.8,Trump
"Wayne, iowa",6395,-0.1,12.2,22127,96.7,14.1,Trump
"Webster, iowa",36955,-2.8,53.1,24203,89.2,19.2,Trump
"Winnebago, iowa",10559,-2.8,27.1,24547,93,18.6,Trump
"Winneshiek, iowa",20768,-1.4,30.5,25062,95.2,26.5,Trump
"Woodbury, iowa",102271,0.1,117.1,23269,76.4,20.3,Trump
"Worth, iowa",7624,0.3,19,26187,95.5,16.3,Trump
"Wright, iowa",12840,-2.9,22.8,25827,88.2,16,Trump
"Allen, kansas",12909,-3.5,26.7,20552,91.2,16.1,Trump
"Anderson, kansas",7883,-2.7,14,22139,94.6,19,Trump
"Atchison, kansas",16513,-2.4,39.3,21909,88.6,21.6,Trump
"Barber, kansas",4897,0.7,4.3,26229,93.7,19.8,Trump
"Barton, kansas",27385,-1,30.9,25800,82.4,18.3,Trump
"Bourbon, kansas",14772,-2.6,23.9,19340,91.1,22,Trump
"Brown, kansas",9815,-1.7,17.5,21046,83.8,18.2,Trump
"Butler, kansas",66227,0.5,46.1,27329,90.1,26.7,Trump
"Chase, kansas",2692,-3.5,3.6,21775,92.5,23.6,Trump
"Chautauqua, kansas",3481,-5.1,5.7,21245,87.2,16.3,Trump
"Cherokee, kansas",20787,-3.8,36.8,19580,88.9,14.9,Trump
"Cheyenne, kansas",2693,-1.2,2.7,23677,91.3,21.7,Trump
"Clark, kansas",2144,-3.2,2.3,25385,86.3,26.2,Trump
"Clay, kansas",8317,-2.6,13.2,24503,95,20.7,Trump
"Cloud, kansas",9385,-1.6,13.3,20467,93.9,16.6,Trump
"Coffey, kansas",8433,-2,13.7,27627,94.1,19.9,Trump
"Comanche, kansas",1954,3.3,2.4,21041,93,23.9,Trump
"Cowley, kansas",35963,-1,32.3,21519,80.9,20,Trump
"Crawford, kansas",39290,0.4,66.4,20974,88,27.2,Trump
"Decatur, kansas",2908,-1.8,3.3,27154,95.5,19.9,Trump
"Dickinson, kansas",19394,-1.8,23.3,23895,91.7,18.5,Trump
"Doniphan, kansas",7874,-0.9,20.2,22713,90.1,17.5,Trump
"Douglas, kansas",116585,5.2,243.1,26342,80.5,49.6,Clinton
"Edwards, kansas",3030,-0.2,4.9,24714,77.8,22.3,Trump
"Elk, kansas",2694,-6.5,4.5,20322,92.2,18,Trump
"Ellis, kansas",29013,2,31.6,24291,90.7,32.3,Trump
"Ellsworth, kansas",6392,-1.6,9.1,22789,86.5,20.8,Trump
"Finney, kansas",37184,1.1,28.2,21629,44.3,17.9,Trump
"Ford, kansas",34795,2.8,30.8,19994,42.2,16.7,Trump
"Franklin, kansas",25611,-1.5,45.5,22979,91.6,20.2,Trump
"Geary, kansas",36713,6.8,89.3,21408,58.6,20.8,Trump
"Gove, kansas",2727,1.2,2.5,26233,96.1,20.3,Trump
"Graham, kansas",2566,-1.2,2.9,28146,89.1,22.9,Trump
"Grant, kansas",7816,-0.2,13.6,26370,51.4,17.8,Trump
"Gray, kansas",6082,1.3,6.9,25537,83.3,20.2,Trump
"Greeley, kansas",1301,4.3,1.6,32650,82.8,21.9,Trump
"Greenwood, kansas",6328,-5.4,5.9,22280,92.3,16.5,Trump
"Hamilton, kansas",2603,-3.2,2.7,24510,64.7,12.6,Trump
"Harper, kansas",5818,-3.6,7.5,22820,90.7,16.9,Trump
"Harvey, kansas",34820,0.4,64.3,23775,83.9,26.3,Trump
"Haskell, kansas",4106,-3.5,7.4,25114,69,17.7,Trump
"Hodgeman, kansas",1916,0,2.2,30440,90.1,22.6,Trump
"Jackson, kansas",13539,0.6,20.5,24117,84.6,17.7,Trump
"Jefferson, kansas",18855,-1.4,35.9,26280,94.2,21.3,Trump
"Jewell, kansas",3043,-1.1,3.4,23134,95.6,14.7,Trump
"Johnson, kansas",574272,5.5,1149.6,38827,81,51.7,Trump
"Kearny, kansas",3915,-1.6,4.6,22292,67.3,17.2,Trump
"Kingman, kansas",7698,-2,9.1,24026,94.2,19.3,Trump
"Kiowa, kansas",2513,-1.6,3.5,23232,91,20,Trump
"Labette, kansas",20960,-3,33.5,22394,85.1,20.4,Trump
"Lane, kansas",1687,-3.6,2.4,31694,91.1,22.7,Trump
"Leavenworth, kansas",78797,3.4,164.7,27017,79.4,28.7,Trump
"Lincoln, kansas",3167,-2.3,4.5,23686,95.2,19.7,Trump
"Linn, kansas",9502,-1.6,16.3,26224,94.4,14.2,Trump
"Logan, kansas",2794,1.4,2.6,25328,91.2,15.6,Trump
"Lyon, kansas",33212,-1.4,39.8,19789,72.4,24.1,Trump
"Marion, kansas",12208,-3.6,13.4,22269,93.8,20.8,Trump
"Marshall, kansas",10006,-1.1,11.2,25262,95.3,15,Trump
"McPherson, kansas",29241,0.2,32.5,27462,92.2,25.7,Trump
"Meade, kansas",4357,-4.8,4.7,21990,80.5,23.8,Trump
"Miami, kansas",32822,0.1,57,28412,93.2,23.9,Trump
"Mitchell, kansas",6284,-1.4,9.1,26911,95.9,23.8,Trump
"Montgomery, kansas",34065,-4,55.1,21332,80.3,17.9,Trump
"Morris, kansas",5698,-3.8,8.5,24680,92.9,17.4,Trump
"Morton, kansas",3110,-3.8,4.4,22378,73.4,17.5,Trump
"Nemaha, kansas",10148,-0.3,14.2,24550,95.8,19.5,Trump
"Neosho, kansas",16416,-0.6,28.9,21163,90.7,16.2,Trump
"Ness, kansas",3105,-0.1,2.9,30223,89,19,Trump
"Norton, kansas",5560,-2,6.5,22942,89.7,15.4,Trump
"Osage, kansas",15936,-2.2,23.1,24789,94.2,20.6,Trump
"Osborne, kansas",3756,-2.6,4.3,26313,96.4,18,Trump
"Ottawa, kansas",6065,-0.4,8.5,26614,94.5,21,Trump
"Pawnee, kansas",6916,-0.8,9.2,23230,85.4,22.9,Trump
"Phillips, kansas",5533,-1.9,6.4,23772,94.6,18.3,Trump
"Pottawatomie, kansas",22897,6,25.7,24892,89.9,29.3,Trump
"Pratt, kansas",9850,2,13.1,26209,89.2,23.4,Trump
"Rawlins, kansas",2584,2.6,2.4,26897,93.7,23.3,Trump
"Reno, kansas",63794,-1.1,51.4,23382,85.3,19.8,Trump
"Republic, kansas",4803,-3.6,6.9,25531,96.7,19.8,Trump
"Rice, kansas",10015,-0.7,13.9,23068,84.6,20.9,Trump
"Riley, kansas",75194,5.7,116.6,22948,77.8,45,Trump
"Rooks, kansas",5155,-0.5,5.8,23768,95.6,20.9,Trump
"Rush, kansas",3197,-3.3,4.6,24175,94.3,19.4,Trump
"Russell, kansas",6956,-0.2,7.9,24683,93.9,21.8,Trump
"Saline, kansas",55755,0.3,77.2,24935,80.9,23.9,Trump
"Scott, kansas",5080,2.9,6.9,26274,80.8,23.4,Trump
"Sedgwick, kansas",508803,2.1,499.6,25603,69.2,28.7,Trump
"Seward, kansas",23465,2.2,35.9,19015,33.7,12.6,Trump
"Shawnee, kansas",178406,0.3,327.1,26057,75,28.6,Trump
"Sheridan, kansas",2539,-0.7,2.9,26841,94.5,22.4,Trump
"Sherman, kansas",6110,1.7,5.7,21476,84.6,15.7,Trump
"Smith, kansas",3769,-2.2,4.3,26811,95.8,16.7,Trump
"Stafford, kansas",4297,-3.2,5.6,23240,83.8,19.1,Trump
"Stanton, kansas",2111,-5.5,3.3,21712,59.7,18.5,Trump
"Stevens, kansas",5801,1.3,7.9,24950,64.2,17.6,Trump
"Sumner, kansas",23528,-2.5,20.4,22972,90.4,17.8,Trump
"Thomas, kansas",7891,-0.1,7.4,26903,91.7,27.9,Trump
"Trego, kansas",2902,-3.3,3.4,23095,95.8,21.5,Trump
"Wabaunsee, kansas",7022,-0.4,8.9,24199,93.3,20.6,Trump
"Wallace, kansas",1506,1.4,1.6,25429,91,23.5,Trump
"Washington, kansas",5598,-3.5,6.5,22621,95,16.1,Trump
"Wichita, kansas",2176,-2.6,3.1,23799,70.8,16.6,Trump
"Wilson, kansas",9028,-4,16.5,19929,92.7,13,Trump
"Woodson, kansas",3157,-4.6,6.6,21774,93.8,18.2,Trump
"Wyandotte, kansas",161636,2.6,1039,18957,42.7,15.5,Clinton
"Adair, kentucky",19204,2.9,46,17371,93.7,13.9,Trump
"Allen, kentucky",20384,2.1,58,19086,95.4,12.7,Trump
"Anderson, kentucky",21888,2.2,106.1,24161,94.4,20.4,Trump
"Ballard, kentucky",8240,-0.1,33.4,24781,93.4,13.1,Trump
"Barren, kentucky",43148,2.3,86.5,19745,91,14.7,Trump
"Bath, kentucky",12206,5.3,41.6,16367,95.8,12,Trump
"Bell, kentucky",27778,-3.2,79.9,15091,94.6,10.8,Trump
"Boone, kentucky",126413,6.4,482.3,29235,88.9,30.4,Trump
"Bourbon, kentucky",19972,-0.1,69,22893,85,15.8,Trump
"Boyd, kentucky",48832,-1.4,309.9,24530,93.5,16.3,Trump
"Boyle, kentucky",29706,4.5,157.8,22249,86.6,22.8,Trump
"Bracken, kentucky",8406,-1,41.3,20918,96.5,14.2,Trump
"Breathitt, kentucky",13409,-3.4,28.2,14706,97.5,9.8,Trump
"Breckinridge, kentucky",19888,-0.8,35.4,18101,94.7,9.4,Trump
"Bullitt, kentucky",77955,4.9,250.2,24308,95.3,12.7,Trump
"Butler, kentucky",12875,1.5,29.8,18136,94.8,8.2,Trump
"Caldwell, kentucky",12725,-2,37.7,20327,91.4,16.8,Trump
"Calloway, kentucky",38282,2.9,96.6,21490,90.1,27.7,Trump
"Campbell, kentucky",91833,1.7,597,26945,92.9,28.5,Trump
"Carlisle, kentucky",4978,-2.5,26.9,21500,94.8,15.5,Trump
"Carroll, kentucky",10815,0,84.1,19429,88.7,9.5,Trump
"Carter, kentucky",27223,-1.8,67.7,19204,96.8,10.4,Trump
"Casey, kentucky",15891,-0.4,35.9,15603,95.1,8.4,Trump
"Christian, kentucky",74250,0.4,103.1,19773,67.2,15.1,Trump
"Clark, kentucky",35758,0.4,141.1,24524,90.4,19.4,Trump
"Clay, kentucky",21147,-2.7,46.3,13542,92.6,9,Trump
"Clinton, kentucky",10165,-1,52.1,16795,95.2,7,Trump
"Crittenden, kentucky",9224,-1,25.9,21375,96.7,11.4,Trump
"Cumberland, kentucky",6745,-1.6,22.5,17697,94.6,13.9,Trump
"Daviess, kentucky",98275,1.7,210.9,22963,89.8,18.8,Trump
"Edmonson, kentucky",12013,-1.2,40.2,19481,95.8,9.8,Trump
"Elliott, kentucky",7672,-2.3,33.5,14040,94.9,7.7,Trump
"Estill, kentucky",14447,-1.5,58,16435,97.9,8.3,Trump
"Fayette, kentucky",310797,5.1,1042.8,29251,72.6,40.1,Clinton
"Fleming, kentucky",14545,1.3,41.2,19304,96.2,12.8,Trump
"Floyd, kentucky",38108,-3.4,100.3,17716,97.4,12.8,Trump
"Franklin, kentucky",49880,1.2,237.2,26243,82.3,26.8,Trump
"Fulton, kentucky",6265,-8,33.2,18602,71.1,13.1,Trump
"Gallatin, kentucky",8589,0,84.8,19020,91.5,8.8,Trump
"Garrard, kentucky",16858,-0.3,73.5,21341,94.3,15.2,Trump
"Grant, kentucky",24875,0.9,95.6,19829,94.8,10.9,Trump
"Graves, kentucky",37618,1.3,67.3,20746,87,16.9,Trump
"Grayson, kentucky",26194,1.7,51.8,19115,96.2,9.5,Trump
"Green, kentucky",11043,-1.9,39.4,17984,94.6,12,Trump
"Greenup, kentucky",36308,-1.6,107.2,22035,96.4,15.7,Trump
"Hancock, kentucky",8753,2.2,45.6,22686,96,11.5,Trump
"Hardin, kentucky",108266,2.6,169.3,24147,76.4,20.8,Trump
"Harlan, kentucky",28163,-3.8,62.9,16257,95.3,10.6,Trump
"Harrison, kentucky",18592,-1.4,61.5,21424,94.2,14.2,Trump
"Hart, kentucky",18597,2.2,44.2,17273,92,8.8,Trump
"Henderson, kentucky",46467,0.5,105.9,22746,87.6,16.4,Trump
"Henry, kentucky",15572,1,53.9,21923,91.9,12.8,Trump
"Hickman, kentucky",4734,-3.4,20.2,19292,87.7,10.3,Trump
"Hopkins, kentucky",46376,-1.2,86.6,22132,88.9,14.2,Trump
"Jackson, kentucky",13289,-1.5,39.1,15880,98,8.2,Trump
"Jefferson, kentucky",760026,2.6,1948.1,27925,69.7,30.4,Clinton
"Jessamine, kentucky",50815,4.6,282.3,25637,90.7,27.4,Trump
"Johnson, kentucky",23262,-0.4,89.2,19445,97.7,10.2,Trump
"Kenton, kentucky",163929,2.6,996.7,27704,89.3,29.1,Trump
"Knott, kentucky",15892,-2.8,46.5,18448,97.5,13,Trump
"Knox, kentucky",31798,-0.3,82.5,14367,96.1,10.1,Trump
"Larue, kentucky",14180,-0.1,54.3,19611,91.8,11.1,Trump
"Laurel, kentucky",60015,2,135.6,19923,96,12.6,Trump
"Lawrence, kentucky",15804,-0.3,38.2,17960,97.7,10.8,Trump
"Lee, kentucky",7594,-3.7,37.8,13969,96,5.6,Trump
"Leslie, kentucky",10918,-3.5,28.2,16424,98.2,7.3,Trump
"Letcher, kentucky",23359,-4.7,72.6,17886,97.9,11.5,Trump
"Lewis, kentucky",13880,0.1,28.7,16132,98,10.6,Trump
"Lincoln, kentucky",24445,-1.2,74.1,17420,94.5,9.6,Trump
"Livingston, kentucky",9359,-1.7,30.4,19795,96.3,11.3,Trump
"Logan, kentucky",26867,0.1,48.6,19143,88.5,13.3,Trump
"Lyon, kentucky",8430,1.3,38.9,22123,91.3,13.3,Trump
"Madison, kentucky",87340,5.3,189.6,21800,90.2,28,Trump
"Magoffin, kentucky",12913,-3.2,43.2,15118,98,8.9,Trump
"Marion, kentucky",20007,0.9,57.8,18865,86.6,12.5,Trump
"Marshall, kentucky",30953,-1.6,104.4,22381,97.1,15.3,Trump
"Martin, kentucky",12537,-3,56.3,15525,88.9,7.5,Trump
"Mason, kentucky",17166,-1.9,72.8,23347,89.5,14.8,Trump
"McCracken, kentucky",65316,-0.4,263.6,25957,83.8,22.5,Trump
"McCreary, kentucky",17863,-2.4,42.9,11818,89.9,7.3,Trump
"McLean, kentucky",9478,-0.6,37.8,19984,96.9,10.3,Trump
"Meade, kentucky",29139,1.9,93.6,20898,88.9,12.7,Trump
"Menifee, kentucky",6287,-0.3,31,15942,95.3,12.1,Trump
"Mercer, kentucky",21319,-0.1,85.7,24138,91.6,18.9,Trump
"Metcalfe, kentucky",9990,-1.1,34.9,17171,95.6,8.6,Trump
"Monroe, kentucky",10704,-2.4,33.3,16656,93.6,12,Trump
"Montgomery, kentucky",27474,3.7,134.3,20436,93,14.6,Trump
"Morgan, kentucky",13303,-4.5,36.5,16233,93.7,11.5,Trump
"Muhlenberg, kentucky",31207,-0.9,67.4,20008,92.3,11.3,Trump
"Nelson, kentucky",44812,3.2,104,23545,90.7,16.6,Trump
"Nicholas, kentucky",7041,-1.2,36.6,20450,96.4,13.7,Trump
"Ohio, kentucky",23977,0.6,40.6,19005,94.5,8,Trump
"Oldham, kentucky",63490,5.3,322.2,33591,88.9,40.1,Trump
"Owen, kentucky",10645,-1.8,30.9,23991,95.1,15.9,Trump
"Owsley, kentucky",4508,-5.2,24.1,13611,97.4,12.4,Trump
"Pendleton, kentucky",14493,-2.6,53.7,23122,97.1,12.4,Trump
"Perry, kentucky",27597,-3.9,84.5,18224,95.9,13.5,Trump
"Pike, kentucky",63034,-3.1,82.6,19351,97.3,12.5,Trump
"Powell, kentucky",12434,-1.4,70.5,15174,96.8,11.9,Trump
"Pulaski, kentucky",63825,1.2,95.8,20667,94.7,15.1,Trump
"Robertson, kentucky",2197,-3.7,22.8,17641,97.6,12.5,Trump
"Rockcastle, kentucky",16826,-1.3,53.9,16513,97.6,10.9,Trump
"Rowan, kentucky",23655,1.4,83.4,17094,94.7,23.8,Trump
"Russell, kentucky",17774,1.2,69.2,17107,94.2,11.9,Trump
"Scott, kentucky",51284,8.7,167.4,27802,87.5,27.9,Trump
"Shelby, kentucky",44875,6.7,110.8,27039,80.8,23.8,Trump
"Simpson, kentucky",17826,2.9,74,19441,85.4,14.8,Trump
"Spencer, kentucky",17668,3.6,91.4,26666,94.5,16.6,Trump
"Taylor, kentucky",25257,3,92,18790,90.7,15.1,Trump
"Todd, kentucky",12520,0.5,33.3,17846,85.9,9.4,Trump
"Trigg, kentucky",14142,-1.3,32.5,25527,88.2,18.4,Trump
"Trimble, kentucky",8786,-0.3,58.1,22070,94.4,16.1,Trump
"Union, kentucky",15165,1.1,43.8,19464,82.9,11.4,Trump
"Warren, kentucky",120460,5.9,210.1,23853,80.8,28.4,Trump
"Washington, kentucky",11959,2.1,39.4,19837,88.3,15.6,Trump
"Wayne, kentucky",20486,-1.6,45.4,16396,93.9,9.8,Trump
"Webster, kentucky",13236,-2.8,41,20337,89.1,8.4,Trump
"Whitley, kentucky",35503,-0.4,81.4,15960,96.2,13.4,Trump
"Wolfe, kentucky",7214,-1.9,33.1,14157,98,11.8,Trump
"Woodford, kentucky",25563,2.5,132.1,29277,86.1,31.6,Trump
"Acadia Parish, louisiana",62486,1.2,94.3,19910,78.1,10.2,Trump
"Allen Parish, louisiana",25713,-0.2,33.8,18857,70.6,11.1,Trump
"Ascension Parish, louisiana",117029,9.2,369.7,28178,70,24.9,Trump
"Assumption Parish, louisiana",23034,-1.7,69.2,21743,66.5,9.7,Trump
"Avoyelles Parish, louisiana",41145,-2.2,50.5,18006,66,9.7,Trump
"Beauregard Parish, louisiana",36198,1.5,30.8,22509,79.5,15,Trump
"Bienville Parish, louisiana",13885,-3.3,17.7,18958,54.6,11.1,Trump
"Bossier Parish, louisiana",125064,6.9,139.3,27429,68.4,25.2,Trump
"Caddo Parish, louisiana",252603,-0.9,290.2,24308,46.7,22.7,Clinton
"Calcasieu Parish, louisiana",197204,2.3,181.2,24355,68.9,19.9,Trump
"Caldwell Parish, louisiana",9894,-2.3,19.1,22782,78.9,8.2,Trump
"Cameron Parish, louisiana",6679,-2.6,5.3,29559,93.1,15.4,Trump
"Catahoula Parish, louisiana",10151,-2.5,14.7,19970,65.8,11.2,Trump
"Claiborne Parish, louisiana",16412,-4.6,22.8,17512,46.3,12.5,Trump
"Concordia Parish, louisiana",20466,-1.7,29.9,16431,57.1,11.3,Trump
"De Soto Parish, louisiana",27142,1.8,30.4,21547,57.4,11.3,Trump
"East Baton Rouge Parish, louisiana",446042,1.3,966.6,27505,45.9,34.2,Clinton
"East Carroll Parish, louisiana",7487,-3.5,18.4,12055,28.9,9.2,Clinton
"East Feliciana Parish, louisiana",19813,-2.2,44.7,22099,52.6,13,Trump
"Evangeline Parish, louisiana",33700,-0.8,51.3,18023,67.8,11.4,Trump
"Franklin Parish, louisiana",20441,-1.6,33.2,17752,66,11.6,Trump
"Grant Parish, louisiana",22384,0.3,34.7,19018,77.1,10.2,Trump
"Iberia Parish, louisiana",73913,0.9,127.6,22997,60,13.6,Trump
"Iberville Parish, louisiana",33327,-0.2,54,21177,48,12.8,Clinton
"Jackson Parish, louisiana",15994,-1.7,28.6,19188,67.5,13.8,Trump
"Jefferson Davis Parish, louisiana",31477,-0.4,48.5,21132,78.4,13,Trump
"Jefferson Parish, louisiana",435716,0.7,1463.1,26908,54.7,23.6,Trump
"La Salle Parish, louisiana",14839,-0.3,23.8,22481,83.2,12.9,Trump
"Lafayette Parish, louisiana",235644,6.3,824.6,28901,66.7,28.3,Trump
"Lafourche Parish, louisiana",98020,1.5,90.2,24798,77.2,14.8,Trump
"Lincoln Parish, louisiana",47617,1.9,99.1,20633,53,34.4,Trump
"Livingston Parish, louisiana",135751,6,197.5,25076,88.8,17.5,Trump
"Madison Parish, louisiana",11843,-2.1,19.4,13585,35.1,11.2,Clinton
"Morehouse Parish, louisiana",26760,-4.4,35.2,16683,49.8,12.9,Trump
"Natchitoches Parish, louisiana",39166,-1,31.6,20802,53.4,21.6,Trump
"Orleans Parish, louisiana",384320,11.8,2029.4,26500,31,33.7,Clinton
"Ouachita Parish, louisiana",156325,1.7,251.8,21917,58.7,22.9,Trump
"Plaquemines Parish, louisiana",23447,1.8,29.5,25748,66.8,15.3,Trump
"Pointe Coupee Parish, louisiana",22406,-1.7,40.9,23742,60.8,14.3,Trump
"Rapides Parish, louisiana",132488,0.7,99.9,22126,61.8,18.3,Trump
"Red River Parish, louisiana",8669,-4.6,23.4,21443,58.1,11.9,Trump
"Richland Parish, louisiana",20740,0.1,37.1,18669,60.9,13.2,Trump
"Sabine Parish, louisiana",24199,-0.1,28,22229,68.5,13,Trump
"St. Bernard Parish, louisiana",44409,23.7,95.1,20316,64.7,12,Trump
"St. Charles Parish, louisiana",52745,-0.3,189.1,26756,65.8,19.7,Trump
"St. Helena Parish, louisiana",10619,-5.2,27.4,19457,44.4,10.3,Clinton
"St. James Parish, louisiana",21638,-2.1,91.5,24930,48,13,Clinton
"St. John the Baptist Parish, louisiana",43745,-4.5,215.5,21335,38.5,14.5,Clinton
"St. Landry Parish, louisiana",83709,0.4,90.3,19387,55.4,13.2,Trump
"St. Martin Parish, louisiana",53315,2.2,70.7,22164,64.8,13.3,Trump
"St. Mary Parish, louisiana",53162,-2.7,98.4,21313,56.7,10.8,Trump
"St. Tammany Parish, louisiana",245829,5.2,276.4,30363,79.7,30.1,Trump
"Tangipahoa Parish, louisiana",127049,4.9,153,21273,64,19.4,Trump
"Tensas Parish, louisiana",4830,-8,8.7,17175,42.3,10.3,Clinton
"Terrebonne Parish, louisiana",113328,1.6,90.8,24114,68.1,13.4,Trump
"Union Parish, louisiana",22539,-1.1,25.9,19412,68.6,13.1,Trump
"Vermilion Parish, louisiana",59616,2.8,49.4,22589,78.6,12.6,Trump
"Vernon Parish, louisiana",52132,-0.4,39.4,21396,70.4,18.8,Trump
"Washington Parish, louisiana",46286,-1.9,70.4,17735,66.1,11.2,Trump
"Webster Parish, louisiana",40333,-2.1,69.5,19871,62.6,13.6,Trump
