County,Population,Population-growth,Population-density,Income-per-capita,White-not-hispanic-population-percentage,Percent-of-people-25-years-and-over-with-bachelors-degree-or-higher,class
"Little River, arkansas",12532,-4.8,24.7,19880,73.5,10.6,Trump
"Logan, arkansas",21958,-1.8,31.6,19046,91.5,11.7,Trump
"Lonoke, arkansas",71557,4.7,88.7,23218,87.2,18.2,Trump
"Madison, arkansas",15740,0.1,18.8,18754,90.8,10.3,Trump
"Marion, arkansas",16367,-1.7,27.9,18188,95,12.9,Trump
"Miller, arkansas",43428,-0.1,69.5,20636,69.9,13.9,Trump
"Mississippi, arkansas",44235,-4.8,51.6,18905,59.7,13,Trump
"Monroe, arkansas",7582,-7,13.4,16939,55.7,11.3,Trump
"Montgomery, arkansas",9082,-4.3,12.2,19021,92.3,12.9,Trump
"Nevada, arkansas",8723,-3,14.6,18695,64.2,12.8,Trump
"Newton, arkansas",7904,-5.1,10.1,17884,94.5,12.7,Trump
"Ouachita, arkansas",24828,-5,35.6,18975,55.9,15.5,Trump
"Perry, arkansas",10245,-1.9,18.9,22047,92.3,11.9,Trump
"Phillips, arkansas",19930,-8.4,31.3,16830,35.3,12,Clinton
"Pike, arkansas",11024,-2.4,18.8,18377,87.8,13.8,Trump
"Poinsett, arkansas",24246,-1.4,32.4,16919,87.8,8.6,Trump
"Polk, arkansas",20225,-2.1,24.1,19116,88.9,12.3,Trump
"Pope, arkansas",63201,2.3,76,19918,85.3,20.7,Trump
"Prairie, arkansas",8304,-4.7,13.4,18137,85.4,9.3,Trump
"Pulaski, arkansas",392702,2.6,503.8,27414,54.4,31.2,Clinton
"Randolph, arkansas",17571,-2.2,27.6,18871,95.3,12.3,Trump
"Saline, arkansas",115719,8,148,25962,87.1,23.4,Trump
"Scott, arkansas",10693,-4.8,12.6,18934,84.2,11.6,Trump
"Searcy, arkansas",7929,-3.2,12.3,16731,93.8,12,Trump
"Sebastian, arkansas",126776,0.8,236.4,23222,71.4,19.2,Trump
"Sevier, arkansas",17426,2.2,30.2,16021,59,8.6,Trump
"Sharp, arkansas",16906,-2.1,28.6,16714,94.1,11,Trump
"St. Francis, arkansas",26899,-4.8,44.5,15511,41.2,11.7,Clinton
"Stone, arkansas",12494,0.8,20.4,17403,95.3,14.2,Trump
"Union, arkansas",40227,-3.4,40.1,20718,61.6,16.1,Trump
"Van Buren, arkansas",16851,-2.6,24.4,18782,93.6,13.6,Trump
"Washington, arkansas",220792,8.7,215.6,23264,72.6,28.7,Trump
"White, arkansas",78592,2,74.5,21793,88.7,18.1,Trump
"Woodruff, arkansas",6910,-4.9,12.4,19087,69.5,10.1,Trump
"Yell, arkansas",21951,-1.1,23.9,16992,75.8,9.4,Trump
"Alameda, california",1610921,6.7,2043.6,35763,33.2,41.8,Clinton
"Alpine, california",1116,-5,1.6,25527,66.4,31.2,Clinton
"Amador, california",36742,-3.5,64.1,27347,80.1,19.3,Trump
"Butte, california",224241,1.9,134.4,23787,74.1,24.4,Trump
"Calaveras, california",44624,-2.1,44.7,29329,82.5,21.2,Trump
"Colusa, california",21419,0,18.6,21579,37.4,13.8,Trump
"Contra Costa, california",1111339,5.9,1465.2,38219,46.3,39,Clinton
"Del Norte, california",27212,-4.9,28.4,19072,63.1,14,Trump
"El Dorado, california",183087,1.1,106,34884,79.1,32,Trump
"Fresno, california",965974,3.8,156.2,20208,31.4,19.6,Clinton
"Glenn, california",27955,-0.6,21.4,22148,53.9,14.6,Trump
"Humboldt, california",134809,0.1,37.7,23540,76.2,27.5,Clinton
"Imperial, california",179091,2.6,41.8,16763,12.8,13.3,Clinton
"Inyo, california",18410,-0.7,1.8,27441,64.5,21.4,Trump
"Kern, california",874589,4.2,103.3,20295,36.9,15,Trump
"Kings, california",150269,-1.8,110.1,18429,34.1,12.9,Trump
"Lake, california",64184,-0.7,51.5,21537,72.7,16.2,Clinton
"Lassen, california",31749,-9,7.7,19931,66.5,13.1,Trump
"Los Angeles, california",10116705,3,2419.6,27749,27.2,29.7,Clinton
"Madera, california",154548,2.4,70.6,17847,36.4,13.6,Trump
"Marin, california",260750,3.3,485.1,56791,72.6,54.6,Clinton
"Mariposa, california",17682,-3.1,12.6,26988,81.8,21.3,Trump
"Mendocino, california",87869,0,25.1,23306,67,22,Clinton
"Merced, california",266353,4.1,132.2,18177,30.2,12.6,Clinton
"Modoc, california",9023,-6.8,2.5,21200,77.6,18.7,Trump
"Mono, california",13997,-1.4,4.7,28046,66.3,29.8,Clinton
"Monterey, california",431344,3.9,126.5,24775,31.6,23,Clinton
"Napa, california",141667,3.8,182.4,34795,54.5,31.3,Clinton
